Title,Company,Location,Type,URL,Date Added,Status
Technical Curriculum Developer,Purestorage,"Chicago, Illinois; Lehi, Utah; New York, New York; Santa Clara, California",,https://boards.greenhouse.io/purestorage/jobs/7145087?gh_jid=7145087,2025-10-25T15:24:09.804124Z,Not Applied
Product Quality Engineer,Purestorage,"Houston, Texas; Santa Clara, California",,https://boards.greenhouse.io/purestorage/jobs/7261014?gh_jid=7261014,2025-10-25T15:24:09.801769Z,Not Applied
Inventory Analyst,Purestorage,"Remote, Vietnam",,https://boards.greenhouse.io/purestorage/jobs/7278891?gh_jid=7278891,2025-10-25T15:24:09.798892Z,Not Applied
"Consulting Systems Engineer-SLED, NYC ",Purestorage,"New York, New York",,https://boards.greenhouse.io/purestorage/jobs/7343401?gh_jid=7343401,2025-10-25T15:24:09.785321Z,Not Applied
Technical Support Engineer (Eastern or Pacific Time),Zscaler,Remote - USA,,https://job-boards.greenhouse.io/zscaler/jobs/4929725007,2025-10-25T15:24:07.02734Z,Not Applied
Technical Project Management-SkillBridge Intern,Zscaler,USA - Update Location,,https://job-boards.greenhouse.io/zscaler/jobs/4941045007,2025-10-25T15:24:07.025258Z,Not Applied
Technical Enablement- SkillBridge Intern,Zscaler,Remote - USA,,https://job-boards.greenhouse.io/zscaler/jobs/4779245007,2025-10-25T15:24:07.023558Z,Not Applied
Sr. Software Engineer- Agentic AI & Digital Experience,Zscaler,"San Jose, California, USA",,https://job-boards.greenhouse.io/zscaler/jobs/4919460007,2025-10-25T15:24:07.021594Z,Not Applied
"Specialist Account Executive, ZT Cloud   ",Zscaler,Remote - France,,https://job-boards.greenhouse.io/zscaler/jobs/4954982007,2025-10-25T15:24:07.019575Z,Not Applied
Specialist Account Executive - Data Security - Federal,Zscaler,"Remote - D.C., USA",,https://job-boards.greenhouse.io/zscaler/jobs/4797816007,2025-10-25T15:24:07.017205Z,Not Applied
Specialist Account Executive - Data Security,Zscaler,"Melbourne, AUS; Sydney, AUS",,https://job-boards.greenhouse.io/zscaler/jobs/4942226007,2025-10-25T15:24:07.015551Z,Not Applied
Sales Engineer - Norway,Zscaler,Remote - Norway,,https://job-boards.greenhouse.io/zscaler/jobs/4869904007,2025-10-25T15:24:07.013459Z,Not Applied
"Sales Engineer, Enterprise - Heartlands",Zscaler,"Remote - Wisconsin, USA",,https://job-boards.greenhouse.io/zscaler/jobs/4925843007,2025-10-25T15:24:07.011428Z,Not Applied
"Sales Engineer - Enterprise, Germany",Zscaler,Remote - Germany,,https://job-boards.greenhouse.io/zscaler/jobs/4738559007,2025-10-25T15:24:07.009324Z,Not Applied
Sales Engineer,Zscaler,Remote - Hong Kong,,https://job-boards.greenhouse.io/zscaler/jobs/4942213007,2025-10-25T15:24:07.007007Z,Not Applied
Sales Engineer,Zscaler,"Melbourne, AUS",,https://job-boards.greenhouse.io/zscaler/jobs/4917433007,2025-10-25T15:24:07.00468Z,Not Applied
Partner Sales Specialist,Zscaler,Remote - Mexico,,https://job-boards.greenhouse.io/zscaler/jobs/4842198007,2025-10-25T15:24:07.00259Z,Not Applied
Cyber Incident Response/Customer Security Operations - SkillBridge Intern,Zscaler,USA - Update Location,,https://job-boards.greenhouse.io/zscaler/jobs/4946064007,2025-10-25T15:24:07.000623Z,Not Applied
Commercial Sales Engineer - Mountain West,Zscaler,"Remote - Arizona, USA; Remote - Colorado, USA; Remote - Nevada, USA; Remote - Utah, USA",,https://job-boards.greenhouse.io/zscaler/jobs/4684580007,2025-10-25T15:24:06.998794Z,Not Applied
Associate Technical Support Engineer (Eastern or Pacific Time),Zscaler,Remote - USA,,https://job-boards.greenhouse.io/zscaler/jobs/4929742007,2025-10-25T15:24:06.996785Z,Not Applied
Associate Sales Engineer - German Speaking,Zscaler,"Madrid, ESP; Remote - Spain",,https://job-boards.greenhouse.io/zscaler/jobs/4855699007,2025-10-25T15:24:06.983852Z,Not Applied
"Solutions Engineering Associate, Okta",Okta,"Massachusetts; New Jersey; New York, New York",,https://www.okta.com/company/careers/opportunity/7291346?gh_jid=7291346,2025-10-25T15:24:04.653861Z,Not Applied
"Software Engineer, Device Assurance (Java)",Okta,"San Francisco, California",,https://www.okta.com/company/careers/opportunity/7301875?gh_jid=7301875,2025-10-25T15:24:04.651711Z,Not Applied
Product Marketing Specialist - Identity Management ,Okta,"Bellevue, Washington; Chicago, Illinois; Toronto, Ontario, Canada",,https://www.okta.com/company/careers/opportunity/7075089?gh_jid=7075089,2025-10-25T15:24:04.649445Z,Not Applied
IT Support Engineer,Okta,"Chicago, Illinois",,https://www.okta.com/company/careers/opportunity/7251087?gh_jid=7251087,2025-10-25T15:24:04.647376Z,Not Applied
Distinguished Engineer ,Okta,"New York, New York",,https://www.okta.com/company/careers/opportunity/6925175?gh_jid=6925175,2025-10-25T15:24:04.645286Z,Not Applied
US Payroll Specialist,Gitlab,Remote,,https://job-boards.greenhouse.io/gitlab/jobs/8200406002,2025-10-25T15:24:02.316625Z,Not Applied
"Salesforce Admin/Release Engineer, CRM Systems",Gitlab,"Remote, APAC",,https://job-boards.greenhouse.io/gitlab/jobs/8171608002,2025-10-25T15:24:02.315051Z,Not Applied
Product Analyst,Gitlab,"Remote, EMEA; Remote, North America",,https://job-boards.greenhouse.io/gitlab/jobs/8195430002,2025-10-25T15:24:02.313417Z,Not Applied
